"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","311","Create file with empty directory","LMS service","Sun Aug 23 21:41:55 UTC 2026","passed","Sun Aug 23 21:41:56 UTC 2026","Validate entity","Files","",""
"","17","Delete file","LMS service","Sun Aug 23 21:41:54 UTC 2026","passed","Sun Aug 23 21:41:54 UTC 2026","Delete entity","Files","",""
"","12","Get file","LMS service","Sun Aug 23 21:41:53 UTC 2026","passed","Sun Aug 23 21:41:53 UTC 2026","Get entity","Files","",""
"","620","Login with correct email and password","LMS service","Sun Aug 23 21:41:46 UTC 2026","passed","Sun Aug 23 21:41:46 UTC 2026","Login","Authentication","",""
"","83","Create file with empty filename","LMS service","Sun Aug 23 21:41:54 UTC 2026","passed","Sun Aug 23 21:41:54 UTC 2026","Validate entity","Files","",""
"","27","Update course","LMS service","Sun Aug 23 21:41:47 UTC 2026","passed","Sun Aug 23 21:41:47 UTC 2026","Update entity","Courses","",""
"","606","Create user","LMS service","Sun Aug 23 21:41:56 UTC 2026","passed","Sun Aug 23 21:41:57 UTC 2026","Create entity","Users","",""
"","30","Create course","LMS service","Sun Aug 23 21:41:49 UTC 2026","passed","Sun Aug 23 21:41:49 UTC 2026","Create entity","Courses","",""
"","530","Create user","LMS service","Sun Aug 23 21:41:56 UTC 2026","passed","Sun Aug 23 21:41:56 UTC 2026","Create entity","Users","",""
"","20","Get courses","LMS service","Sun Aug 23 21:41:47 UTC 2026","passed","Sun Aug 23 21:41:47 UTC 2026","Get entities","Courses","",""
"","13","Get exercise","LMS service","Sun Aug 23 21:41:50 UTC 2026","passed","Sun Aug 23 21:41:50 UTC 2026","Get entity","Exercises","",""
"","13","Get user me","LMS service","Sun Aug 23 21:41:57 UTC 2026","passed","Sun Aug 23 21:41:57 UTC 2026","Get entity","Users","",""
"","320","Create user","LMS service","Sun Aug 23 21:41:56 UTC 2026","passed","Sun Aug 23 21:41:56 UTC 2026","Create entity","Users","",""
"","13","Get exercises","LMS service","Sun Aug 23 21:41:51 UTC 2026","passed","Sun Aug 23 21:41:51 UTC 2026","Get entities","Exercises","",""
"","20","Update exercise","LMS service","Sun Aug 23 21:41:50 UTC 2026","passed","Sun Aug 23 21:41:50 UTC 2026","Update entity","Exercises","",""
"","20","Delete exercise","LMS service","Sun Aug 23 21:41:51 UTC 2026","passed","Sun Aug 23 21:41:51 UTC 2026","Delete entity","Exercises","",""
"","316","Create file","LMS service","Sun Aug 23 21:41:53 UTC 2026","passed","Sun Aug 23 21:41:53 UTC 2026","Create entity","Files","",""
"","14","Get file with incorrect file id","LMS service","Sun Aug 23 21:41:56 UTC 2026","passed","Sun Aug 23 21:41:56 UTC 2026","Validate entity","Files","",""
"","25","Create exercise","LMS service","Sun Aug 23 21:41:49 UTC 2026","passed","Sun Aug 23 21:41:49 UTC 2026","Create entity","Exercises","",""
